Generated On,Temp ,Rain,Wind ,Dust ,Tempd,Raind,Windd,Dustd
"2019-02-27	",26.7,0,-,18,27.3,0,14,24
"2019-02-28	",27.3,0,14,24,28.4,0,17,31
"2019-03-01	",28.4,0,17,31,28,0,13,28
"2019-03-02	",27.8,-,-,29,27.2,0,13,32
"2019-03-03	",28,-,-,24,27.4,0,14,22
"2019-03-04	",28,0,13,28,27.6,0,12,26
"2019-03-05	",27.2,0,13,32,27.1,0,15,26
"2019-03-06	",27.4,0,14,22,27.1,0,14,21
"2019-03-07	",27.6,0,12,26,28.5,0,11,24
"2019-03-08	",27.1,0,15,26,39.1,0,13,32
"2019-03-09	",27.1,0,14,21,28.8,0,14,27
"2019-03-10	",27.4,-,-,19,28.5,0,15,22
"2019-03-11	",28.5,0,11,24,28,0,17,31
"2019-03-12	",39.1,0,13,32,28.2,0,18,34
"2019-03-13	",28.8,0,14,27,28.5,0,18,24
"2019-03-14	",28.2,-,-,19,29.1,0,12,22
"2019-03-15	",28.5,0,15,22,28,0,12,33
"2019-03-16	",28,0,17,31,27.9,0,14,36
"2019-03-17	",28.2,0,18,34,27.1,0.1,11,25
"2019-03-18	",28.2,-,-,34,28.8,0,16,12
"2019-03-19	",28.5,-,-,31,29,0,18,27
"2019-03-20	",28.5,0,18,24,29.6,0,11,26
"2019-03-21	",29.1,0,12,22,29.4,0,14,22
"2019-03-22	",29.6,-,-,30,28.9,0,13,23
"2019-03-23	",28,0,12,33,28.6,0,15,22
"2019-03-24	",27.9,0,14,36,28.7,0,12,24
"2019-03-25	",27.1,0.1,11,25,29.7,0,16,24
"2019-03-26	",28.8,0,16,12,29.9,0,17,18
"2019-03-27	",29.3,-,-,16,27.3,1.3,13,17
"2019-03-28	",29,0,18,27,28,6.7,23,22
"2019-03-29	",29.6,0,11,26,28.5,0,14,21
"2019-03-30	",29.2,-,-,n/a,29.7,0,14,20
"2019-03-31	",29.4,0,14,22,27.5,19.9,13,26
"2019-04-01	",28.9,0,13,23,28.3,1.2,14,18
"2019-04-02	",27.5,T,16,23,27.5,10.7,24,13
"2019-04-03	",28.6,0,15,22,27.2,1.9,15,16
"2019-04-04	",29.1,-,18,21,29.1,0,12,15
"2019-04-05	",28.7,0,12,24,28.2,6.6,14,25
"2019-04-06	",29.7,0,16,24,27.6,12.1,18,21
"2019-04-07	",29.9,0,17,18,28.2,4.7,6,19
"2019-05-09	",27.3,1.3,13,17,28.7,7.7,14,18
"2019-05-10	",28,6.7,23,22,28.9,0,15,17
"2019-05-11	",28.5,0,14,21,27.8,1.5,25,15
"2019-05-12	",29.7,0,14,20,27.8,0,14,16
"2019-05-13	",27.5,19.9,13,26,26.7,10.4,17,15
"2019-05-14	",28.3,1.2,14,18,28.2,10.6,14,11
"2019-05-15	",27.5,10.7,24,13,28.6,0.2,11,11
"2019-05-16	",27.2,1.9,15,16,27.8,5.7,22,16
"2019-05-17	",29.1,0,12,15,28.6,0.1,12,14
"2019-05-18	",28.2,6.6,14,25,28.5,7.9,10,12
"2019-05-19	",27.6,12.1,18,21,28.5,0,18,15
"2019-05-20	",28.2,4.7,6,19,28.7,0.6,16,14
"2019-05-21	",28.7,7.7,14,18,28,41.9,12,12
"2019-05-22	",28.9,0,15,17,28.8,0,12,14
"2019-05-23	",27.8,1.5,25,15,27.7,8.1,7,22
"2019-05-24	",27.8,0,14,16,27.3,2,9,7
"2019-05-25	",26.7,10.4,17,15,26.7,2,17,10
"2019-05-26	",28.2,10.6,14,11,27.2,0.8,14,9
"2019-05-27	",28.6,0.2,11,11,25.3,19.1,9,11
"2019-05-28	",28.8,T,13,14,27.4,12.6,35,8
"2019-05-29	",27.8,5.7,22,16,28.3,0,8,12
"2019-05-30	",28.6,0.1,12,14,29.6,0,14,17
"2019-05-31	",28.5,7.9,10,12,29.5,0,16,16
"2019-06-01	",28.5,0,18,15,28.1,1.2,25,16
"2019-06-02	",28.7,0.6,16,14,28.8,0.7,5,11
"2019-06-03	",28,41.9,12,12,28.4,0.4,11,11
"2019-06-04	",28.8,0,12,14,27.5,2.2,15,17
"2019-06-05	",27.7,8.1,7,22,26.6,14,26,10
"2019-06-06	",27.3,2,9,7,28,0,11,13
"2019-06-07	",26.7,2,17,10,29.6,0,10,17
"2019-06-08	",27.2,0.8,14,9,29.1,0,9,14
"2019-06-09	",25.3,19.1,9,11,28.2,2,16,12
"2019-06-10	",27.4,12.6,35,8,27,69.5,16,14
"2019-06-11	",28.3,0,8,12,27.9,0.3,13,11
"2019-06-12	",29.6,0,14,17,27.3,1.5,16,11
"2019-06-13	",29.5,0,16,16,28.7,0,19,11
"2019-06-14	",28.1,1.2,25,16,28.7,0,20,17
"2019-06-15	",28.8,0.7,5,11,28.7,0,16,20
"2019-06-16	",28.4,0.4,11,11,29.2,0,14,20
"2019-06-17	",27.5,2.2,15,17,30.7,0,18,14
"2019-06-18	",26.6,14,26,10,29.3,2,15,19
"2019-06-19	",28,0,11,13,27.5,0,10,15
"2019-06-20	",29.6,0,10,17,28.4,0,16,16
"2019-06-21	",29.1,0,9,14,27.7,0,11,26
"2019-06-22	",28.2,2,16,12,28.4,3.2,13,19
"2019-06-23	",27,69.5,16,14,27.2,4.6,19,17
"2019-06-24	",27.9,0.3,13,11,28.3,0,10,20
"2019-06-25	",27.3,1.5,16,11,27.8,8.4,13,21
"2019-06-26	",28.7,0,19,11,28.5,0,10,23
"2019-06-27	",28.2,T,12,16,27,6.3,17,20
"2019-06-28	",28.7,0,20,17,27.7,0.7,19,23
"2019-06-29	",28.7,0,16,20,28.7,0,15,15
"2019-06-30	",29.2,0,14,20,28.3,0,16,13
"2019-07-01	",30.7,0,18,14,26.3,13.2,15,13
"2019-07-02	",29.3,2,15,19,27.2,1.8,15,10
"2019-07-03	",27.5,0,10,15,26.3,9.3,31,8
"2019-07-04	",28.4,0,16,16,26,13,14,7
"2019-07-05	",28.7,T,13,21,26.8,4.6,26,9
"2019-07-06	",27.7,0,11,26,28.1,0,13,11
"2019-07-07	",28.4,3.2,13,19,29,0,12,12
"2019-07-08	",27.2,4.6,19,17,28.5,0,13,14
"2019-07-09	",28.3,0,10,20,28.1,0,15,20
"2019-07-10	",27.8,8.4,13,21,27.8,0,10,19
"2019-07-11	",28.5,0,10,23,29.4,0.4,8,23
"2019-07-12	",27,6.3,17,20,28.1,0.1,11,14
"2019-07-13	",27.7,0.7,19,23,29,0,16,17
"2019-07-14	",28.7,0,15,15,29.2,0,15,19
"2019-07-15	",28.3,0,16,13,28.9,0,15,16
"2019-07-16	",26.3,13.2,15,13,28.6,0,20,16
"2019-07-17	",27.2,1.8,15,10,27.1,3.6,20,17
"2019-07-18	",26.3,9.3,31,8,26.9,2.6,15,17
"2019-07-19	",26,13,14,7,28.6,1.3,20,11
"2019-07-20	",26.8,4.6,26,9,26.6,17.8,27,12
"2019-07-21	",28.1,0,13,11,28.7,0,8,10
"2019-07-22	",29,0,12,12,27.2,0,17,13
"2019-07-23	",28.5,0,13,14,25.8,11.5,17,12
"2019-07-24	",28.1,0,15,20,26.7,2.2,19,7
"2019-07-25	",27.8,0,10,19,26.3,5.2,4,10
"2019-07-26	",29.4,0.4,8,23,27.5,15.6,18,18
"2019-07-27	",27.9,T,13,19,28.1,0,15,12
"2019-07-28	",28.1,0.1,11,14,27.3,4.6,19,14
"2019-07-29	",29,0,16,17,27,0.4,5,6
"2019-07-30	",29.2,0,15,19,27.3,0,15,8
"2019-07-31	",28.9,0,15,16,28.5,0,13,13
"2019-08-01	",28.6,0,20,16,28.2,0,12,15
"2019-08-02	",27.1,3.6,20,17,28.4,1.2,14,20
"2019-08-03	",26.9,2.6,15,17,27.9,0,26,16
"2019-08-04	",28.6,1.3,20,11,28,0,12,10
"2019-08-05	",26.6,17.8,27,12,27.6,1.5,24,11
"2019-08-06	",28.7,0,8,10,27.6,0.8,31,10
"2019-08-07	",27.2,0,17,13,26.3,2.6,16,7
"2019-08-08	",28.1,T,16,16,27.3,3.5,13,12
"2019-08-09	",25.8,11.5,17,12,26.6,1.6,9,11
"2019-08-10	",26.7,2.2,19,7,26.3,0.3,11,8
"2019-08-11	",26.3,5.2,4,10,26,7.8,11,10
"2019-08-12	",28.1,T,11,10,24.8,10.6,8,7
"2019-08-13	",27.5,15.6,18,18,25.4,4.7,4,9
"2019-08-14	",28.1,0,15,12,25.9,0.2,11,8
"2019-08-15	",27.3,4.6,19,14,26.7,0,9,9
"2019-08-16	",27,0.4,5,6,27.1,0,15,16
"2019-08-17	",27.3,0,15,8,27.1,0.9,18,15
"2019-08-18	",28.5,0,13,13,27.7,0.1,13,16
"2019-08-19	",28.2,0,12,15,27.7,0,8,21
"2019-08-20	",28.4,1.2,14,20,29,0,13,21
"2019-08-21	",27.9,0,26,16,27.5,30.3,17,17
"2019-08-22	",28,0,12,10,26.4,15.8,13,12
"2019-08-23	",27.6,1.5,24,11,27.5,1.6,10,12
"2019-08-24	",27.6,0.8,31,10,27.1,9,18,12
"2019-08-25	",26.3,2.6,16,7,27.9,0.6,18,13
"2019-08-26	",27.3,3.5,13,12,25.4,0.2,11,14
"2019-08-27	",26.6,1.6,9,11,24.6,14,23,10
"2019-08-28	",26.3,0.3,11,8,25,5.9,10,7
"2019-08-29	",26,7.8,11,10,25.8,0.8,8,7
"2019-08-30	",24.8,10.6,8,7,24.9,5.7,12,9
"2019-08-31	",25.4,4.7,4,9,26.9,0,12,8
"2019-09-01	",25.9,0.2,11,8,27.1,0,25,8
"2019-09-02	",26.7,0,9,9,27.7,0,15,15
"2019-09-03	",27.1,0,15,16,27,0,19,15
"2019-09-04	",27.1,0.9,18,15,26.2,22.4,13,19
"2019-09-05	",27.7,0.1,13,16,26.1,0.5,9,20
"2019-09-06	",27.7,0,8,21,26.9,8.3,14,22
"2019-09-07	",29,0,13,21,25.9,18,17,21
"2019-09-08	",27.5,30.3,17,17,27.2,1.3,13,20
"2019-09-09	",26.4,15.8,13,12,27.6,0,14,17
"2019-09-10	",27.5,1.6,10,12,26,9.9,13,11
"2019-09-11	",27.1,9,18,12,26.9,0,13,12
"2019-09-12	",27.9,0.6,18,13,27.4,0,12,18
"2019-09-13	",25.4,0.2,11,14,27,4.5,12,14
"2019-09-14	",24.6,14,23,10,27,0,12,17
"2019-09-15	",25,5.9,10,7,26.7,0,8,16
"2019-09-16	",25.8,0.8,8,7,27.4,49.1,8,16
"2019-09-17	",24.9,5.7,12,9,26.8,1.8,13,10
"2019-09-18	",26.9,0,12,8,26.6,13.9,10,13
"2019-09-19	",27.1,0,25,8,26.7,0,8,12
"2019-09-20	",27.7,0,15,15,27.2,0,11,11
"2019-09-21	",27,0,19,15,27.1,0,8,15
"2019-09-22	",26.2,22.4,13,19,27.6,0,9,16
"2019-09-23	",26.3,0,8,40,28,0,8,21
"2019-09-24	",26.8,0,10,37,26.8,0,15,17
"2019-09-25	",27.2,0,14,30,25.2,1.3,6,13
"2019-09-26	",26.8,9.3,16,20,26.3,0.8,7,15
"2019-09-27	",27,0,12,18,26.2,8.3,8,13
"2019-09-28	",27,0,10,22,25.2,24.3,9,11
"2019-09-29	",27.5,0,13,20,25.3,9.7,6,10
"2019-09-30	",26.8,T,12,18,25.4,10.7,14,7
"2019-10-01	",24.6,18.9,19,10,26.1,73.7,22,6
"2019-10-02	",25.4,0.2,10,13,25.2,27.7,17,7
"2019-10-03	",26.6,0,12,15,26.9,0,9,12
"2019-10-04	",27.2,0,11,15,27.7,0,9,12
"2019-10-05	",26.4,0,10,15,27.4,0.4,10,11
"2019-10-06	",25.7,2.6,12,16,27.3,0.6,6,10
"2019-10-07	",26.3,1.7,16,8,27.2,0,12,14
"2019-10-08	",26.5,2.3,10,9,27,2.2,16,17
"2019-10-09	",26.4,9,12,9,27,0,6,15
"2019-10-10	",26.7,13.7,18,10,27.8,0,9,13
"2019-10-11	",26.3,2.1,15,9,27.4,0.5,10,14
"2019-10-12	",26.9,0,11,11,27.3,2.3,10,16
"2019-10-13	",27.2,0.4,5,11,27.8,0,10,23
"2019-10-14	",25.8,8.5,15,15,26.5,7.5,11,10
"2019-10-15	",25,2.7,11,14,26.5,0,12,11
"2019-10-16	",25.4,6.4,11,16,26.2,8.1,15,11
"2019-10-17	",25,0,22,19,26.5,21,12,9
"2019-10-18	",24.2,1.4,18,22,25.7,15.8,19,9
"2019-10-19	",24.1,6.1,10,22,26.1,18.6,10,10
"2019-10-20	",24.8,0,19,23,26.3,28.1,15,9
"2019-10-21	",25.1,0,15,22,26.8,14.5,10,9
"2019-10-22	",25.6,0,16,17,25.9,1.7,6,17
"2019-10-23	",25.8,0,16,19,25.8,0,11,35
"2019-10-24	",25.7,0,12,18,26.3,0,8,40
"2019-10-25	",26.2,0,15,19,26.8,0,10,37
"2019-10-26	",25.8,18.1,17,17,27.2,0,14,30
"2019-10-27	",26,3,10,16,26.8,9.3,16,20
"2019-10-28	",26.2,0,12,16,27,0,12,18
"2019-10-29	",26.6,0,11,17,27,0,10,22
"2019-10-30	",26.4,0.6,11,10,27.5,0,13,20
"2019-10-31	",26.7,0,12,10,24.6,18.9,19,10
"2019-11-01	",26.2,0,14,15,25.4,0.2,10,13
"2019-11-02	",26.3,0,10,19,26.6,0,12,15
"2019-11-03	",26.6,0,12,23,27.2,0,11,15
"2019-11-04	",26.5,0,10,21,26.4,0,10,15
"2019-11-05	",26.7,0,13,20,25.7,2.6,12,16
"2019-11-06	",25.8,0,8,20,26.3,1.7,16,8
"2019-11-07	",26.2,0,13,23,26.5,2.3,10,9
"2019-11-08	",25.9,0,13,22,26.4,9,12,9
"2019-11-09	",26,0,9,23,26.7,13.7,18,10
"2019-11-10	",26.1,0,12,19,26.3,2.1,15,9
"2019-11-11	",26.7,0,13,16,26.9,0,11,11
"2019-11-12	",26.1,0.5,9,20,27.2,0.4,5,11
"2019-11-13	",26.9,8.3,14,22,25.8,8.5,15,15
"2019-11-14	",25.9,18,17,21,25,2.7,11,14
"2019-11-15	",27.2,1.3,13,20,25.4,6.4,11,16
"2019-11-16	",27.6,0,14,17,25,0,22,19
"2019-11-17	",26,9.9,13,11,24.2,1.4,18,22
"2019-11-18	",26.9,0,13,12,24.1,6.1,10,22
"2019-11-19	",27.4,0,12,18,24.8,0,19,23
"2019-11-20	",27,4.5,12,14,25.1,0,15,22
"2019-11-21	",27,0,12,17,25.6,0,16,17
"2019-11-22	",26.7,0,8,16,25.8,0,16,19
"2019-11-23	",27.4,49.1,8,16,25.7,0,12,18
"2019-11-24	",26.8,1.8,13,10,26.2,0,15,19
"2019-11-25	",26.6,13.9,10,13,25.8,18.1,17,17
"2019-11-26	",26.7,0,8,12,26,3,10,16
"2019-11-27	",27.2,0,11,11,26.2,0,12,16
"2019-11-28	",27.1,0,8,15,26.6,0,11,17
"2019-11-29	",27.2,T,5,15,26.4,0.6,11,10
"2019-11-30	",27.6,0,9,16,26.7,0,12,10
"2019-12-01	",28,0,8,21,26.2,0,14,15
"2019-12-02	",26.8,0,15,17,26.3,0,10,19
"2019-12-03	",25.2,1.3,6,13,26.6,0,12,23
"2019-12-04	",26.3,0.8,7,15,26.5,0,10,21
"2019-12-05	",26.2,8.3,8,13,26.7,0,13,20
"2019-12-06	",25.2,24.3,9,11,25.8,0,8,20
"2019-12-07	",25.3,9.7,6,10,26.2,0,13,23
"2019-12-08	",25.4,10.7,14,7,25.9,0,13,22
"2019-12-09	",26.1,73.7,22,6,26,0,9,23
"2019-12-10	",25.2,27.7,17,7,26.1,0,12,19
"2019-12-11	",26.9,0,9,12,26.7,0,13,16
